ID,Instance,Class,,
Da100101,苦痛,痛苦,,
Da100101,痛苦,痛苦,,
Da100101,苦楚,痛苦,,
Da100101,痛楚,痛苦,,
Da100101,酸楚,痛苦,,
Da100101,苦处,痛苦,,
Da100101,痛处,痛苦,,
Da100101,苦头,痛苦,,
Da100101,苦难,痛苦,,
Da100101,苦水,痛苦,,
Da100101,苦,痛苦,,
Da100101,切肤之痛,痛苦,,
Da100102,疾苦,痛苦,,
Da100102,困苦,痛苦,,
Da100102,痛痒,痛苦,,
Da110201,冤仇,仇恨,,
Da110201,冤,仇恨,,
Da110201,仇,仇恨,,
Da110201,仇恨,仇恨,,
Da110201,仇怨,仇恨,,
Da110201,睚眦,仇恨,,
Da110202,切骨之仇,仇恨,,
Da110202,深仇大恨,仇恨,,
Da110202,血海深仇,仇恨,,
Da110203,世仇,仇恨,,
Da110203,旧恶,仇恨,,
Da110203,旧仇宿怨,仇恨,,
Da110204,私仇,仇恨,,
Da110204,新仇旧恨,仇恨,,
Da110301,恩怨,仇恨,,
Da110301,恩仇,仇恨,,
Da110301,丝恩发怨,仇恨,,
Ga010201,悲伤,悲伤,,
Ga010201,伤悲,悲伤,,
Ga010201,伤心,悲伤,,
Ga010201,伤感,悲伤,,
Ga010201,熬心,悲伤,,
Ga010201,难过,悲伤,,
Ga010201,难受,悲伤,,
Ga010201,悲,悲伤,,
Ga010201,哀,悲伤,,
Ga010201,哀伤,悲伤,,
Ga010201,悲哀,悲伤,,
Ga010201,悲戚,悲伤,,
Ga010201,悲郁,悲伤,,
Ga010201,悲愁,悲伤,,
Ga010201,哀愁,悲伤,,
Ga010201,哀戚,悲伤,,
Ga010201,悲怆,悲伤,,
Ga010201,忧伤,悲伤,,
Ga010201,忧戚,悲伤,,
Ga010201,哀哀,悲伤,,
Ga010201,怆怆,悲伤,,
Ga010201,怆然,悲伤,,
Ga010201,恻然,悲伤,,
Ga010201,凄然,悲伤,,
Ga010201,凄凄,悲伤,,
Ga010201,凄迷,悲伤,,
Ga010201,凄惘,悲伤,,
Ga010201,凄怆,悲伤,,
Ga010201,凄恻,悲伤,,
Ga010201,凄惶,悲伤,,
Ga010201,怆恻,悲伤,,
Ga010201,恻怛,悲伤,,
Ga010201,恻恻,悲伤,,
Ga010201,愀怆,悲伤,,
Ga010201,惨怛,悲伤,,
Ga010201,忉怛,悲伤,,
Ga010201,怛怛,悲伤,,
Ga010201,殷殷,悲伤,,
Ga010201,不是味儿,悲伤,,
Ga010201,不是滋味,悲伤,,
Ga010201,如丧考妣,悲伤,,
Ga010202,悲痛,悲伤,,
Ga010202,哀痛,悲伤,,
Ga010202,沉痛,悲伤,,
Ga010202,痛,悲伤,,
Ga010202,痛心,悲伤,,
Ga010202,悲愤,悲伤,,
Ga010202,痛切,悲伤,,
Ga010202,悲切,悲伤,,
Ga010202,惨切,悲伤,,
Ga010202,凄戾,悲伤,,
Ga010202,肠断,悲伤,,
Ga010202,断肠,悲伤,,
Ga010202,柔肠百转,悲伤,,
Ga010202,肝肠寸断,悲伤,,
Ga010202,肝肠断绝,悲伤,,
Ga010202,肝肠痛断,悲伤,,
Ga010202,肠断魂消,悲伤,,
Ga010202,黯然销魂,悲伤,,
Ga010202,长歌当哭,悲伤,,
Ga010202,椎心泣血,悲伤,,
Ga010202,痛定思痛,悲伤,,
Ga010202,创巨痛深,悲伤,,
Ga010202,人琴俱亡,悲伤,,
Ga010202,不堪回首,悲伤,,
Ga010202,五内如焚,悲伤,,
Ga010202,五内俱裂,悲伤,,
Ga010203,痛苦,悲伤,,
Ga010203,痛,悲伤,,
Ga010203,苦痛,悲伤,,
Ga010203,惨痛,悲伤,,
Ga010203,伤痛,悲伤,,
Ga010203,愧痛,悲伤,,
Ga010203,惨然,悲伤,,
Ga010203,惨苦,悲伤,,
Ga010203,悲苦,悲伤,,
Ga010203,心如刀割,悲伤,,
Ga010203,黯然神伤,悲伤,,
Ga010203,回肠九转,悲伤,,
Ga010203,缠绵悱恻,悲伤,,
Ga010203,切肤之痛,悲伤,,
Ga010204,悲酸,悲伤,,
Ga010204,悲辛,悲伤,,
Ga010204,辛酸,悲伤,,
Ga010204,酸辛,悲伤,,
Ga010204,心酸,悲伤,,
Ga010204,酸溜溜,悲伤,,
Ga010204,苦涩,悲伤,,
Ga010205,凄惨,悲伤,,
Ga010205,凄楚,悲伤,,
Ga010205,凄切,悲伤,,
Ga010205,惨惨,悲伤,,
Ga010206,兔死狐悲,悲伤,,
Ga010206,物伤其类,悲伤,,
Ga020101,忧愁,忧愁,,
Ga020101,发愁,忧愁,,
Ga020101,犯愁,忧愁,,
Ga020101,忧,忧愁,,
Ga020101,愁,忧愁,,
Ga020101,忧伤,忧愁,,
Ga020101,忧戚,忧愁,,
Ga020101,戴愁帽,忧愁,,
Ga020101,牢愁,忧愁,,
Ga020101,悄然,忧愁,,
Ga020101,忧思,忧愁,,
Ga020101,忧悒,忧愁,,
Ga020101,愁悒,忧愁,,
Ga020101,忧煎,忧愁,,
Ga020101,忧从中来,忧愁,,
Ga020101,忧心忡忡,忧愁,,
Ga020101,忧心如焚,忧愁,,
Ga020101,心事重重,忧愁,,
Ga020101,愁眉苦脸,忧愁,,
Ga020101,愁眉不展,忧愁,,
Ga020101,愁眉锁眼,忧愁,,
Ga020101,愁肠百结,忧愁,,
Ga020101,蒿目时艰,忧愁,,
Ga020101,郁郁寡欢,忧愁,,
Ga020101,悲天悯人,忧愁,,
Ga020102,忧虑,忧愁,,
Ga020102,焦虑,忧愁,,
Ga020102,虑,忧愁,,
Ga020102,忧患,忧愁,,
Ga020102,担忧,忧愁,,
Ga020102,忧惧,忧愁,,
Ga020102,戚戚,忧愁,,
Ga020102,恤恤,忧愁,,
Ga020103,忧闷,忧愁,,
Ga020103,愁闷,忧愁,,
Ga020103,愁苦,忧愁,,
Ga020103,忧郁,忧愁,,
Ga020103,抑郁,忧愁,,
Ga020103,阴郁,忧愁,,
Ga020103,悒郁,忧愁,,
Ga020103,怫郁,忧愁,,
Ga020103,郁结,忧愁,,
Ga020103,幽忧,忧愁,,
Ga020103,忧愤,忧愁,,
Ga020103,悒悒,忧愁,,
Ga020103,抑抑,忧愁,,
Ga020103,怏怏,忧愁,,
Ga020103,郁郁不乐,忧愁,,
Ga020103,闷闷不乐,忧愁,,
Ga020103,忽忽不乐,忧愁,,
Ga020103,怏怏不乐,忧愁,,
Ga020104,过虑,忧愁,,
Ga020104,多虑,忧愁,,
Ga020104,杞人忧天,忧愁,,
Ga020104,庸人自扰,忧愁,,
Ga020105,后顾之忧,忧愁,,
Ga020105,内顾之忧,忧愁,,
Ga020106,穷愁,忧愁,,
Ga020106,闲愁,忧愁,,
Ic040101,叹气,忧愁,,
Ic040101,叹息,忧愁,,
Ic040101,太息,忧愁,,
Ic040101,嗟叹,忧愁,,
Ic040101,叹,忧愁,,
Ic040101,嘘,忧愁,,
Ic040101,喟然,忧愁,,
Ic040101,唉声叹气,忧愁,,
Ic040101,长吁短叹,忧愁,,
Ic040102,长叹,忧愁,,
Ic040102,浩叹,忧愁,,
Ic040103,悲叹,忧愁,,
Ic040103,哀叹,忧愁,,
Ga020106,客愁,忧愁,,
Ga020201,烦闷,烦闷,,
Ga020201,烦心,烦闷,,
Ga020201,糟心,烦闷,,
Ga020201,烦乱,烦闷,,
Ga020201,烦躁,烦闷,,
Ga020201,烦恼,烦闷,,
Ga020201,烦扰,烦闷,,
Ga020201,忧烦,烦闷,,
Ga020201,忧闷,烦闷,,
Ga020201,沉闷,烦闷,,
Ga020201,苦闷,烦闷,,
Ga020201,郁闷,烦闷,,
Ga020201,愁闷,烦闷,,
Ga020201,憋闷,烦闷,,
Ga020201,闷气,烦闷,,
Ga020201,憋气,烦闷,,
Ga020201,窝囊,烦闷,,
Ga020201,窝憋,烦闷,,
Ga020201,不快,烦闷,,
Ga020201,不快意憋,烦闷,,
Ga020201,堵,烦闷,,
Ga020201,烦,烦闷,,
Ga020201,闷,烦闷,,
Ga020201,苦恼,烦闷,,
Ga020201,抑郁,烦闷,,
Ga020201,郁悒,烦闷,,
Ga020201,沉郁,烦闷,,
Ga020201,窝心,烦闷,,
Ga020201,愤懑,烦闷,,
Ga030101,愤怒,愤怒,,
Ga030101,恼怒,愤怒,,
Ga030101,含怒,愤怒,,
Ga030101,气恼,愤怒,,
Ga030101,气愤,愤怒,,
Ga030101,义愤,愤怒,,
Ga030101,激愤,愤怒,,
Ga030101,愤激,愤怒,,
Ga030101,愤慨,愤怒,,
Ga030101,愤然,愤怒,,
Ga030101,愤愤,愤怒,,
Ga030101,悻悻,愤怒,,
Ga030101,愠,愤怒,,
Ga030101,恚,愤怒,,
Ga030101,怒,愤怒,,
Ga030101,气,愤怒,,
Ga030101,恼,愤怒,,
Ga030101,愤,愤怒,,
Ga030101,艴然,愤怒,,
Ga030101,怒冲冲,愤怒,,
Ga030101,气冲冲,愤怒,,
Ga030101,气乎乎,愤怒,,
Ga030101,气囊囊,愤怒,,
Ga030101,气鼓鼓,愤怒,,
Ga030101,恼羞成怒,愤怒,,
Ga030101,怒气冲冲,愤怒,,
Ga030101,怒气攻心,愤怒,,
Ga030102,惹气,愤怒,,
Ga030102,怄气,愤怒,,
Ga030102,赌气,愤怒,,
Ga030102,负气,愤怒,,
Ga030103,动火,愤怒,,
Ga030103,动肝火,愤怒,,
Ga030103,恼火,愤怒,,
Ga030103,冒火,愤怒,,
Ga030103,光火,愤怒,,
Ga030103,发火,愤怒,,
Ga030103,上火,愤怒,,
Ga030103,挂火,愤怒,,
Ga030103,动怒,愤怒,,
Ga030103,发怒,愤怒,,
Ga030103,生气,愤怒,,
Ga030103,动气,愤怒,,
Ga030103,挂气,愤怒,,
Ga030103,火,愤怒,,
Ga030103,炸,愤怒,,
Ga030103,撺,愤怒,,
Ga030103,嗔,愤怒,,
Ga030103,发毛,愤怒,,
Ga030103,发狠,愤怒,,
Ga030103,犯小性儿,愤怒,,
Ga030103,红脸,愤怒,,
Ga030103,眼红,愤怒,,
Ga030103,红眼,愤怒,,
Ga030103,变色,愤怒,,
Ga030103,作色,愤怒,,
Ga030103,发作,愤怒,,
Ga030103,发标,愤怒,,
Ga030103,发脾气,愤怒,,
Ga030103,闹脾气,愤怒,,
Ga030103,使性子,愤怒,,
Ga030103,耍态度,愤怒,,
Ga030103,心头火起,愤怒,,
Ga030103,无明火起,愤怒,,
Ga030103,怒形于色,愤怒,,
Ga030103,疾言厉色,愤怒,,
Ga030103,直眉瞪眼,愤怒,,
Ga030103,横眉竖眼,愤怒,,
Ga030103,七窍生烟,愤怒,,
Ga030103,愤然作色,愤怒,,
Ga030103,揎袖捋臂,愤怒,,
Ga030103,拂袖而去,愤怒,,
Ga030104,大怒,愤怒,,
Ga030104,震怒,愤怒,,
Ga030104,盛怒,愤怒,,
Ga030104,怒火中烧,愤怒,,
Ga030104,火冒三丈,愤怒,,
Ga030104,赫然而怒,愤怒,,
Ga030104,怒不可遏,愤怒,,
Ga030104,勃然大怒,愤怒,,
Ga030104,大发雷霆,愤怒,,
Ga030104,暴跳如雷,愤怒,,
Ga030104,怒气冲天,愤怒,,
Ga030104,令人发指,愤怒,,
Ga030104,发指眦裂,愤怒,,
Ga030104,怒发冲冠,愤怒,,
Ga030104,气冲牛斗,愤怒,,
Ga030104,义愤填膺,愤怒,,
Ga030104,悲愤填膺,愤怒,,
Ga030104,人神共愤,愤怒,,
Ga030104,天怒人怨,愤怒,,
Ga030105,泄恨,愤怒,,
Ga030105,泄愤,愤怒,,
Ga030105,出气,愤怒,,
Ga030105,撒气,愤怒,,
Ga030105,迁怒,愤怒,,
Ga040201,惆怅,惆怅,,
Ga040201,怊怅,惆怅,,
Ga040201,怅怅,惆怅,,
Ga040201,怅惘,惆怅,,
Ga040201,惘然,惆怅,,
Ga040201,怅,惆怅,,
Ga040201,怆恍,惆怅,,
Ga040201,惝恍,惆怅,,
Ga040201,忽忽,惆怅,,
Ga040201,忽忽不乐,惆怅,,
Ga040201,惘然若失,惆怅,,
Ga040201,若有所失,惆怅,,
Ga040201,怅然若失,惆怅,,
Ga040202,失意,惆怅,,
Ga040202,向隅,惆怅,,
Ga040202,怃然,惆怅,,
Ga050101,灰心,惆怅,,
Ga050101,丧气,惆怅,,
Ga050101,泄气,惆怅,,
Ga050101,短气,惆怅,,
Ga050101,伤气,惆怅,,
Ga050101,失气,惆怅,,
Ga050101,泄劲,惆怅,,
Ga050101,气短,惆怅,,
Ga050101,气馁,惆怅,,
Ga050101,自馁,惆怅,,
Ga050101,凉,惆怅,,
Ga050101,懊丧,惆怅,,
Ga050101,沮丧,惆怅,,
Ga050101,惨沮,惆怅,,
Ga050101,灰溜溜,惆怅,,
Ga050101,嗒然若失,惆怅,,
Ga050101,冷水浇头,惆怅,,
Ga050101,心灰意懒,惆怅,,
Ga050101,灰心丧气,惆怅,,
Ga050101,垂头丧气,惆怅,,
Ga050101,心如死灰,惆怅,,
Ga050101,槁木死灰,惆怅,,
Ga050101,万念俱灰,惆怅,,
Ga050102,消沉,惆怅,,
Ga050102,低沉,惆怅,,
Ga050102,黯然,惆怅,,
Ga050102,感伤,惆怅,,
Ga050103,颓丧,惆怅,,
Ga050103,颓废,惆怅,,
Ga050103,颓败,惆怅,,
Ga050103,颓靡,惆怅,,
Ga050103,颓然,惆怅,,
Ga050103,颓唐,惆怅,,
Ga050103,委靡,惆怅,,
Ga050103,郎当,惆怅,,
Ga050103,累累,惆怅,,
Ga050103,委靡不振,惆怅,,
Ga050201,失望,失望,,
Ga050201,废然,失望,,
Ga050201,大失所望,失望,,
Ga050301,扫兴,失望,,
Ga050301,败兴,失望,,
Ga050301,杀风景,失望,,
Ga050301,兴致索然,失望,,
Ga060401,不满,不满,,
Ga060401,不称心,不满,,
Ga060401,遗憾,不满,,
Ga060402,不平,不满,,
Ga060402,鸣不平,不满,,
Ga060402,抱不平,不满,,
Ga060402,忿忿不平,不满,,
Ga060402,鸣冤叫屈,不满,,
Ga070201,不安,不安,,
Ga070201,紧张,不安,,
Ga070201,乱烦乱,不安,,
Ga070201,浮动,不安,,
Ga070201,打鼓,不安,,
Ga070201,杌陧,不安,,
Ga070201,介介,不安,,
Ga070201,疚,不安,,
Ga070201,蹴蹴,不安,,
Ga070201,夜不成寐,不安,,
Ga070201,食不甘味,不安,,
Ga070201,心事重重,不安,,
Ga070201,心烦意乱,不安,,
Ga070201,心慌意乱,不安,,
Ga070201,心乱如麻,不安,,
Ga070201,方寸已乱,不安,,
Ga070201,心神不定,不安,,
Ga070201,若有所失,不安,,
Ga070201,六神无主,不安,,
Ga070201,五色无主,不安,,
Ga070201,神魂颠倒,不安,,
Ga070201,魂不守舍,不安,,
Ga070201,魂不附体,不安,,
Ga070201,内心纷扰,不安,,
Ga070201,坐立不安,不安,,
Ga070201,坐卧不宁,不安,,
Ga070201,惶恐不安,不安,,
Ga070201,惴惴不安,不安,,
Ga070201,诚惶诚恐,不安,,
Ga070201,七上八下,不安,,
Ga070201,七上八落,不安,,
Ga070201,忐忑不安,不安,,
Ga070201,如坐针毡,不安,,
