带有情绪的句子中表达负面词情绪的词,带有情绪的句子中表达正面情绪的词,情绪句子中的疑问词,,
干吗要扣,多谢,什么,,
到底怎么回事,您,甚,,
怎么不回信息,谢谢,啥,,
乱扣,你好,哪,,
投诉,您好,何,,
为什么不,请帮忙,啥子,,
坑人,帮我,哪门子,,
该死,请取消,那块儿,,
怎么还,请查一下,哪里,,
过分,请您,谁边,,
态度差,咨询,何处,,
怎么还没,请回复,哪儿,,
太差,请问,何处,,
生硬,请你,哪里,,
骗人,可以…吗？,谁边,,
不满意,帮忙,不是….吗？,,
退还,请求,多少 ,,
未赠送,哈哈,到底怎么回事,,
上不了,可不可以,可以,,
狗娘养的,请协助,可否,,
骗钱,贵公司,是不是,,
差,请解释,是多少,,
低,不好意思,是否是,,
坑人,打扰,什么是,,
老扣,早上好,是否有,,
极度差,晚上好,是什么  ,,
太差,中午好,是否,,
那么差,谢啦,为什么,,
烦死了,能不能,为什么…还是…,,
不负责任,可否,还有…为什么,,
没有答复,请问一下,为何,,
老是扣,请解释,有没有,,
怎么没,请,要不要,,
未返还,请帮我,怎么办,,
未赠送,好吗,怎么还没,,
未收到,恳请,怎么还没有,,
失望,请求,怎么会,,
扣那么多,麻烦,怎样,,
干嘛要,麻烦您,怎么回事,,
太烂,麻烦你,怎么不,,
欺骗,帮助,怎么这样,,
搞错,询问,怎么使用,,
小气,,怎样办理,,
很不满意,,指什么,,
垃圾,,怎么不能,,
玩弄,,怎么说,,
乱弹琴,,怎么样,,
差劲,,怎么没有,,
还没送,,怎样定,,
服务差,,怎样开不了,,
不满,,怎么打不了,,
我日,,,,
越来越差,,,,
不够好,,,,
上诉,,,,
还没送,,,,
郁闷,,,,
气死了,,,,
讨厌,,,,
没用,,,,
了色,,,,
魔鬼,,,,
诈骗,,,,
干你妈,,,,
垃圾,,,,
未返还,,,,
没心情,,,,
假把式,,,,
靠,,,,
我操,,,,
莫名其妙,,,,
又扣,,,,
浪费,,,,
真差,,,,
他们的,,,,
答非所问,,,,
不对,,,,
太黑,,,,
刺耳,,,,
不舒服,,,,
机械化,,,,
晕死,,,,
不应该,,,,
无语,,,,
有病,,,,
不讲理,,,,
没得送,,,,
神经,,,,
妈的,,,,
牛头不对马腿,,,,
牛头对不上马嘴,,,,
不明不白,,,,
不明确,,,,
未到帐,,,,
好烦,,,,
愚弄,,,,
那么黑,,,,
听厌了,,,,
不周到,,,,
悲哀,,,,
搞什么鬼,,,,
老子,,,,
烦死了,,,,
操你妈,,,,
歪曲,,,,
搞什么,,,,
你妈的,,,,
霸王龙,,,,
霸王,,,,
骗客户,,,,
无耻,,,,
抗议,,,,
不负责任,,,,
干什么吃的,,,,
狗日,,,,
废话,,,,
不到位,,,,
这么差,,,,
真麻烦,,,,
不礼貌,,,,
气死了,,,,
乱答,,,,
乱收费,,,,
不认真,,,,
太乱,,,,
侮辱,,,,
泛滥,,,,
泛滥成灾,,,,
不合理,,,,
不高兴,,,,
白白扣,,,,
强盗,,,,
好个屁,,,,
忽悠,,,,
去你的,,,,
老掉线,,,,
神经病,,,,
不好,,,,
额外扣,,,,
极差,,,,
又扣,,,,
太慢,,,,
恼怒,,,,
冤,,,,
不行,,,,
虚伪,,,,
不行,,,,
骗局,,,,
天天扣,,,,
绕圈子,,,,
无反应,,,,
晕,,,,
操,,,,
伤心,,,,
不文明,,,,
鸟公司,,,,
瞎搞,,,,
借口,,,,
不太好,,,,
抠,,,,
哎,,,,
唉,,,,
气蒙,,,,
去死,,,,
贵,,,,
干什么吃的,,,,
推搪,,,,
吸血虫,,,,
欺诈,,,,
陷阱,,,,
寒心,,,,
迷糊,,,,
效率差,,,,
鬼话,,,,
奶奶的,,,,
废物,,,,
登不了,,,,
网速差,,,,
登不上,,,,
这么少,,,,
陷害,,,,
拖延,,,,
恨,,,,
连接不到,,,,
无法显示,,,,
推卸,,,,
繁忙,,,,
耽误,,,,
破服务,,,,
抗议,,,,
绝情,,,,
去死,,,,
你丫的,,,,
失败,,,,
无兴趣,,,,
死板,,,,
老是忙,,,,
无网络,,,,
不稳定,,,,
连接不了,,,,
鄙视,,,,
没收到,,,,
网络不好,,,,
马虎,,,,
无谓,,,,
中断,,,,
强迫,,,,
偏偏,,,,
真黑,,,,
黑暗,,,,
真他妈,,,,
抢钱,,,,
超级差,,,,
网络错误,,,,
离谱,,,,
没良心,,,,
没有送,,,,
乱回答,,,,
联机不上,,,,
哼,,,,
不公正,,,,
纳闷,,,,
强收费,,,,
扣错,,,,
没诚意,,,,
不畅通,,,,
检讨,,,,
非常差,,,,
糊弄,,,,
太脏,,,,
骗子,,,,
败类,,,,
气死人,,,,
骗人鬼,,,,
敷衍,,,,
太生气,,,,
小气鬼,,,,
倒退,,,,
太小气,,,,
害惨,,,,
大怒,,,,
额外收钱,,,,
整天断线,,,,
不公平,,,,
不愉快,,,,
超级烂,,,,
质疑,,,,
无法忍受,,,,
纯粹敷衍,,,,
劣质,,,,
不耐烦,,,,
吹牛,,,,
不理想,,,,
还要收费,,,,
装傻,,,,
老毛病,,,,
太小声,,,,
明抢,,,,
不熟练,,,,
黑,,,,
强行,,,,
霸道,,,,
异常,,,,
太拽,,,,
