词语,词性种类,词义数,词义序号,情感分类,强度,极性,辅助情感分类,强度,极性,,
脏乱,adj,1,1,NN,7,2,,,,,
糟报,adj,1,1,NN,5,2,,,,,
早衰,adj,1,1,NE,5,2,,,,,
责备,verb,1,1,NN,5,2,,,,,
贼眼,noun,1,1,NN,5,2,,,,,
战祸,noun,1,1,ND,5,2,NC,5,2,,
招灾,adj,1,1,NN,5,2,,,,,
折辱,noun,1,1,NE,5,2,NN,5,2,,
中山狼,noun,1,1,NN,5,2,,,,,
清峻,adj,1,1,PH,5,0,,,,,
清莹,adj,1,1,PH,5,1,,,,,
轻倩,adj,1,1,PH,5,1,,,,,
晴丽,adj,1,1,PH,5,1,,,,,
求索,adj,1,1,PH,3,1,,,,,
热潮,noun,1,1,PH,5,1,,,,,
仁政,noun,1,1,PH,5,1,,,,,
荣名,noun,1,1,PH,5,1,,,,,
柔腻,adj,1,1,PH,5,1,,,,,
瑞雪,noun,1,1,PA,5,1,,,,,
擅名,noun,1,1,PD,7,1,,,,,
神采,adj,1,1,PA,5,1,PH,1,1,,
省便,adj,1,1,PH,5,1,,,,,
盛开,verb,1,1,PH,5,1,,,,,
盛誉,noun,1,1,PH,5,1,PA,1,1,,
诗仙,noun,1,1,PH,7,1,,,,,
爽脆,adj,1,1,PH,5,1,,,,,
素洁,adj,1,1,PH,3,1,,,,,
诪张,verb,1,1,NN,5,2,,,,,
株连,verb,1,1,NN,7,2,,,,,
坠毁,verb,1,1,NB,5,2,,,,,
滋生,verb,1,1,NN,5,2,,,,,
自恃,verb,1,1,NN,5,2,,,,,
走后门,verb,1,1,NN,5,2,,,,,
阻力,noun,1,1,NN,3,2,,,,,
罪状,noun,1,1,NN,9,2,,,,,
做戏,verb,1,1,NN,7,2,,,,,
甜头,noun,1,1,PB,5,1,,,,,
头名,noun,1,1,PH,5,1,,,,,
婉妙,adj,1,1,PH,3,1,,,,,
温淑,adj,1,1,PB,1,1,,,,,
稳厚,adj,1,1,PH,3,1,,,,,
沃壤,adj,1,1,PH,5,1,,,,,
无上,adj,1,1,PH,5,1,,,,,
喜人,noun,1,1,PA,5,1,,,,,
先贤,noun,1,1,PD,5,1,,,,,
鲜妍,adj,1,1,PH,5,1,,,,,
相称,adj,1,1,PH,5,1,,,,,
骁骑,adj,1,1,PH,3,1,,,,,
新巧,adj,1,1,PH,5,1,,,,,
新意,adj,1,1,PH,5,1,,,,,
